Word,3singular,Present Participle,Simple Past,Past Participle,Initial
end,ends,ending,ended,ended,e
exist,exists,existing,existed,existed,e
seek,seeks,seeking,sought,sought,s
grow,grows,growing,grew,grown,g
check,checks,checking,checked,checked,c
serve,serves,serving,served,served,s
share,shares,sharing,shared,shared,s
establish,establishes,establishing,established,established,e
enter,enters,entering,entered,entered,e
control,controls,controlling,controlled,controlled,c
die,dies,dying,died,died,d
encourage,encourages,encouraging,encouraged,encouraged,e
answer,answers,answering,answered,answered,a
protect,protects,protecting,protected,protected,p
identify,identifies,identifying,identified,identified,i
visit,visits,visiting,visited,visited,v
care,cares,caring,cared,cared,c
enable,enables,enabling,enabled,enabled,e
affect,affects,affecting,affected,affected,a
claim,claims,claiming,claimed,claimed,c
note,notes,noting,noted,noted,n
obtain,obtains,obtaining,obtained,obtained,o
represent,represents,representing,represented,represented,r
contain,contains,containing,contained,contained,c
beat,beats,beating,beat,beaten,b
spread,spreads,spreading,spread,spread,s
worry,worries,worrying,worried,worried,w
bear,bears,bearing,beared,beared,b
shut,shuts,shutting,shut,shut,s
wonder,wonders,wondering,wondered,wondered,w
afford,affords,affording,afforded,afforded,a
fit,fits,fitting,fitted,fitted,f
kill,kills,killing,killed,killed,k
regard,regards,regarding,regarded,regarded,r
describe,describes,describing,described,described,d
place,places,placing,placed,placed,p
drive,drives,driving,drove,driven,d
wear,wears,wearing,wore,worn,w
argue,argues,arguing,argued,argued,a
involve,involves,involving,involved,involved,i
lie,lies,lying,lay,lain,l
contact,contacts,contacting,contacted,contacted,c
catch,catches,catching,caught,caught,c
assume,assumes,assuming,assumed,assumed,a
indicate,indicates,indicating,indicated,indicated,i
operate,operates,operating,operated,operated,o
manage,manages,managing,managed,managed,m
cope,copes,coping,coped,coped,c
remove,removes,removing,removed,removed,r
determine,determines,determining,determined,determined,d
fight,fights,fighting,fought,fought,f
pull,pulls,pulling,pulled,pulled,p
realise,realises,realising,realised,realised,r
reflect,reflects,reflecting,reflected,reflected,r
fill,fills,filling,filled,filled,f
refer,refers,referring,referred,referred,r
gain,gains,gaining,gained,gained,g
examine,examines,examining,examined,examined,e
prefer,prefers,preferring,preferred,preferred,p
travel,travels,travelling,travelled,travelled,t
admit,admits,admitting,admitted,admitted,a
recognise,recognises,recognising,recognised,recognised,r
attend,attends,attending,attended,attended,a
hurt,hurts,hurting,hurt,hurt,h
respond,responds,responding,responded,responded,r
sleep,sleeps,sleeping,slept,slept,s
introduce,introduces,introducing,introduced,introduced,i
depend,depends,depending,depended,depended,d
survive,survives,surviving,survived,survived,s
suffer,suffers,suffering,suffered,suffered,s
notice,notices,noticing,noticed,noticed,n
close,closes,closing,closed,closed,c
result,results,resulting,resulted,resulted,r
replace,replaces,replacing,replaced,replaced,r
complete,completes,completing,completed,completed,c
miss,misses,missing,missed,missed,m
rise,rises,rising,rose,risen,r
present,presents,presenting,presented,presented,p
arise,arises,arising,arose,arisen,a
point,points,pointing,pointed,pointed,p
fail,fails,failing,failed,failed,f
promote,promotes,promoting,promoted,promoted,p
perform,performs,performing,performed,performed,p
discover,discovers,discovering,discovered,discovered,d
express,expresses,expressing,expressed,expressed,e
extend,extends,extending,extended,extended,e
drink,drinks,drinking,drank,drunk,d
mention,mentions,mentioning,mentioned,mentioned,m
vary,varies,varying,varied,varied,v
concentrate,concentrates,concentrating,concentrated,concentrated,c
benefit,benefits,benefiting,benefited,benefited,b
treat,treats,treating,treated,treated,t
hang,hangs,hanging,hung,hung,h
throw,throws,throwing,threw,thrown,t
prepare,prepares,preparing,prepared,prepared,p
drop,drops,dropping,dropped,dropped,d
study,studies,studying,studied,studied,s
push,pushes,pushing,pushed,pushed,p
press,presses,pressing,pressed,pressed,p
report,reports,reporting,reported,reported,r
cast,casts,casting,cast,cast,c
arrive,arrives,arriving,arrived,arrived,a
sound,sounds,sounding,sounded,sounded,s
finish,finishes,finishing,finished,finished,f
ring,rings,ringing,ringed,ringed,r
test,tests,testing,tested,tested,t
secure,secures,securing,secured,secured,s
collect,collects,collecting,collected,collected,c
escape,escapes,escaping,escaped,escaped,e
teach,teaches,teaching,taught,taught,t
last,lasts,lasting,lasted,lasted,l
welcome,welcomes,welcoming,welcomed,welcomed,w
rely,relies,relying,relied,relied,r
trust,trusts,trusting,trusted,trusted,t
match,matches,matching,matched,matched,m
assess,assesses,assessing,assessed,assessed,a
contribute,contributes,contributing,contributed,contributed,c
repeat,repeats,repeating,repeated,repeated,r
supply,supplies,supplying,supplied,supplied,s
plan,plans,planning,planned,planned,p
reveal,reveals,revealing,revealed,revealed,r
state,states,stating,stated,stated,s
confirm,confirms,confirming,confirmed,confirmed,c
appreciate,appreciates,appreciating,appreciated,appreciated,a
hate,hates,hating,hated,hated,h
relate,relates,relating,related,related,r
overcome,overcomes,overcoming,overcame,overcome,o
rid,rids,ridding,rid,rid,r
marry,marries,marrying,married,married,m
attempt,attempts,attempting,attempted,attempted,a
retain,retains,retaining,retained,retained,r
handle,handles,handling,handled,handled,h
attract,attracts,attracting,attracted,attracted,a
assist,assists,assisting,assisted,assisted,a
influence,influences,influencing,influenced,influenced,i
mark,marks,marking,marked,marked,m
split,splits,splitting,split,split,s
experience,experiences,experiencing,experienced,experienced,e
recall,recalls,recalling,recalled,recalled,r
adopt,adopts,adopting,adopted,adopted,a
sign,signs,signing,signed,signed,s
touch,touches,touching,touched,touched,t
fear,fears,fearing,feared,feared,f
stick,sticks,sticking,sticked,sticked,s
settle,settles,settling,settled,settled,s
ignore,ignores,ignoring,ignored,ignored,i
compare,compares,comparing,compared,compared,c
define,defines,defining,defined,defined,d
exercise,exercises,exercising,exercised,exercised,e
demonstrate,demonstrates,demonstrating,demonstrated,demonstrated,d
account,accounts,accounting,accounted,accounted,a
persuade,persuades,persuading,persuaded,persuaded,p
investigate,investigates,investigating,investigated,investigated,i
clear,clears,clearing,cleared,cleared,c
guess,guesses,guessing,guessed,guessed,g
record,records,recording,recorded,recorded,r
vote,votes,voting,voted,voted,v
explore,explores,exploring,explored,explored,e
blame,blames,blaming,blamed,blamed,b
arrange,arranges,arranging,arranged,arranged,a
cross,crosses,crossing,crossed,crossed,c
deny,denies,denying,denied,denied,d
realize,realizes,realizing,realized,realized,r
hide,hides,hiding,hid,hidden,h
focus,focuses,focusing,focused,focused,f
deliver,delivers,delivering,delivered,delivered,d
proceed,proceeds,proceeding,proceeded,proceeded,p
succeed,succeeds,succeeding,succeeded,succeeded,s
bother,bothers,bothering,bothered,bothered,b
refuse,refuses,refusing,refused,refused,r
force,forces,forcing,forced,forced,f
demand,demands,demanding,demanded,demanded,d
recognize,recognizes,recognizing,recognized,recognized,r
count,counts,counting,counted,counted,c
doubt,doubts,doubting,doubted,doubted,d
reckon,reckons,reckoning,reckoned,reckoned,r
belong,belongs,belonging,belonged,belonged,b
emerge,emerges,emerging,emerged,emerged,e
sing,sings,singing,sang,sung,s
intend,intends,intending,intended,intended,i
justify,justifies,justifying,justified,justified,j
in,ins,inning,inned,inned,i
advise,advises,advising,advised,advised,a
defend,defends,defending,defended,defended,d
laugh,laughs,laughing,laughed,laughed,l
dare,dare,daring,dared,dared,d
acquire,acquires,acquiring,acquired,acquired,a
recover,recovers,recovering,recovered,recovered,r
generate,generates,generating,generated,generated,g
distinguish,distinguishes,distinguishing,distinguished,distinguished,d
suspect,suspects,suspecting,suspected,suspected,s
earn,earns,earning,earned,earned,e
finance,finances,financing,financed,financed,f
bet,bets,betting,bet,bet,b
destroy,destroys,destroying,destroyed,destroyed,d
rest,rests,resting,rested,rested,r
judge,judges,judging,judged,judged,j
pursue,pursues,pursuing,pursued,pursued,p
comment,comments,commenting,commented,commented,c
satisfy,satisfies,satisfying,satisfied,satisfied,s
compete,competes,competing,competed,competed,c
resist,resists,resisting,resisted,resisted,r
suit,suits,suiting,suited,suited,s
address,addresses,addressing,addressed,addressed,a
solve,solves,solving,solved,solved,s
lift,lifts,lifting,lifted,lifted,l
alter,alters,altering,altered,altered,a
impose,imposes,imposing,imposed,imposed,i
display,displays,displaying,displayed,displayed,d
appeal,appeals,appealing,appealed,appealed,a
release,releases,releasing,released,released,r
sort,sorts,sorting,sorted,sorted,s
differ,differs,differing,differed,differed,d
select,selects,selecting,selected,selected,s
measure,measures,measuring,measured,measured,m
recommend,recommends,recommending,recommended,recommended,r
order,orders,ordering,ordered,ordered,o
transfer,transfers,transferring,transferred,transferred,t
attack,attacks,attacking,attacked,attacked,a
expand,expands,expanding,expanded,expanded,e
roll,rolls,rolling,rolled,rolled,r
burst,bursts,bursting,burst,burst,b
undertake,undertakes,undertaking,undertook,undertaken,u
relax,relaxes,relaxing,relaxed,relaxed,r
participate,participates,participating,participated,participated,p
behave,behaves,behaving,behaved,behaved,b
strike,strikes,striking,struck,struck,s
remind,reminds,reminding,reminded,reminded,r
review,reviews,reviewing,reviewed,reviewed,r
approach,approaches,approaching,approached,approached,a
employ,employs,employing,employed,employed,e
restore,restores,restoring,restored,restored,r
wash,washes,washing,washed,washed,w
observe,observes,observing,observed,observed,o
combine,combines,combining,combined,combined,c
insist,insists,insisting,insisted,insisted,i
issue,issues,issuing,issued,issued,i
ride,rides,riding,rode,ridden,r
constitute,constitutes,constituting,constituted,constituted,c
jump,jumps,jumping,jumped,jumped,j
cook,cooks,cooking,cooked,cooked,c
switch,switches,switching,switched,switched,s
train,trains,training,trained,trained,t
cry,cries,crying,cried,cried,c
clean,cleans,cleaning,cleaned,cleaned,c
invest,invests,investing,invested,invested,i
step,steps,stepping,stepped,stepped,s
limit,limits,limiting,limited,limited,l
illustrate,illustrates,illustrating,illustrated,illustrated,i
own,owns,owning,owned,owned,o
tackle,tackles,tackling,tackled,tackled,t
challenge,challenges,challenging,challenged,challenged,c
view,views,viewing,viewed,viewed,v
withdraw,withdraws,withdrawing,withdrew,withdrawn,w
possess,possesses,possessing,possessed,possessed,p
communicate,communicates,communicating,communicated,communicated,c
climb,climbs,climbing,climbed,climbed,c
gather,gathers,gathering,gathered,gathered,g
separate,separates,separating,separated,separated,s
preserve,preserves,preserving,preserved,preserved,p
implement,implements,implementing,implemented,implemented,i
shift,shifts,shifting,shifted,shifted,s
resolve,resolves,resolving,resolved,resolved,r
reject,rejects,rejecting,rejected,rejected,r
inform,informs,informing,informed,informed,i
imply,implies,implying,implied,implied,i
acknowledge,acknowledges,acknowledging,acknowledged,acknowledged,a
conclude,concludes,concluding,concluded,concluded,c
shoot,shoots,shooting,shot,shot,s
guarantee,guarantees,guaranteeing,guaranteed,guaranteed,g
comply,complies,complying,complied,complied,c
borrow,borrows,borrowing,borrowed,borrowed,b
question,questions,questioning,questioned,questioned,q
promise,promises,promising,promised,promised,p
enhance,enhances,enhancing,enhanced,enhanced,e
monitor,monitors,monitoring,monitored,monitored,m
risk,risks,risking,risked,risked,r
permit,permits,permitting,permitted,permitted,p
purchase,purchases,purchasing,purchased,purchased,p
propose,proposes,proposing,proposed,proposed,p
celebrate,celebrates,celebrating,celebrated,celebrated,c
charge,charges,charging,charged,charged,c
research,researches,researching,researched,researched,r
aim,aims,aiming,aimed,aimed,a
accommodate,accommodates,accommodating,accommodated,accommodated,a
phone,phones,phoning,phoned,phoned,p
waste,wastes,wasting,wasted,wasted,w
dance,dances,dancing,danced,danced,d
wake,wakes,waking,woke,woken,w
pray,prays,praying,prayed,prayed,p
disappear,disappears,disappearing,disappeared,disappeared,d
telephone,telephones,telephoning,telephoned,telephoned,t
predict,predicts,predicting,predicted,predicted,p
score,scores,scoring,scored,scored,s
slip,slips,slipping,slipped,slipped,s
commit,commits,committing,committed,committed,c
complain,complains,complaining,complained,complained,c
detect,detects,detecting,detected,detected,d
exclude,excludes,excluding,excluded,excluded,e
excuse,excuses,excusing,excused,excused,e
interpret,interprets,interpreting,interpreted,interpreted,i
publish,publishes,publishing,published,published,p
link,links,linking,linked,linked,l
forgive,forgives,forgiving,forgave,forgiven,f
negotiate,negotiates,negotiating,negotiated,negotiated,n
analyse,analyses,analysing,analysed,analysed,a
name,names,naming,named,named,n
stretch,stretches,stretching,stretched,stretched,s
upset,upsets,upsetting,upset,upset,u
qualify,qualifies,qualifying,qualified,qualified,q
damage,damages,damaging,damaged,damaged,d
launch,launches,launching,launched,launched,l
paint,paints,painting,painted,painted,p
specify,specifies,specifying,specified,specified,s
grant,grants,granting,granted,granted,g
lend,lends,lending,lent,lent,l
construct,constructs,constructing,constructed,constructed,c
react,reacts,reacting,reacted,reacted,r
organise,organises,organising,organised,organised,o
deserve,deserves,deserving,deserved,deserved,d
head,heads,heading,headed,headed,h
direct,directs,directing,directed,directed,d
land,lands,landing,landed,landed,l
conduct,conducts,conducting,conducted,conducted,c
sustain,sustains,sustaining,sustained,sustained,s
submit,submits,submitting,submitted,submitted,s
consist,consists,consisting,consisted,consisted,c
blow,blows,blowing,blew,blown,b
mix,mixes,mixing,mixed,mixed,m
guide,guides,guiding,guided,guided,g
owe,owes,owing,owed,owed,o
convince,convinces,convincing,convinced,convinced,c
practise,practises,practising,practised,practised,p
strengthen,strengthens,strengthening,strengthened,strengthened,s
knock,knocks,knocking,knocked,knocked,k
invite,invites,inviting,invited,invited,i
burn,burns,burning,burned,burned,b
abandon,abandons,abandoning,abandoned,abandoned,a
reply,replies,replying,replied,replied,r
shake,shakes,shaking,shook,shaken,s
fix,fixes,fixing,fixt,fixt,f
pretend,pretends,pretending,pretended,pretended,p
consult,consults,consulting,consulted,consulted,c
divide,divides,dividing,divided,divided,d
engage,engages,engaging,engaged,engaged,e
search,searches,searching,searched,searched,s
fulfil,fulfils,fulfilling,fulfilled,fulfilled,f
exploit,exploits,exploiting,exploited,exploited,e
rule,rules,ruling,ruled,ruled,r
process,processes,processing,processed,processed,p
fetch,fetches,fetching,fetched,fetched,f
convey,conveys,conveying,conveyed,conveyed,c
shed,sheds,shedding,shed,shed,s
market,markets,marketing,marketed,marketed,m
fancy,fancies,fancying,fancied,fancied,f
smoke,smokes,smoking,smoked,smoked,s
smell,smells,smelling,smelled,smelled,s
thrust,thrusts,thrusting,thrust,thrust,t
incorporate,incorporates,incorporating,incorporated,incorporated,i
restrict,restricts,restricting,restricted,restricted,r
warn,warns,warning,warned,warned,w
eliminate,eliminates,eliminating,eliminated,eliminated,e
kiss,kisses,kissing,kissed,kissed,k
announce,announces,announcing,announced,announced,a
evaluate,evaluates,evaluating,evaluated,evaluated,e
convert,converts,converting,converted,converted,c
retire,retires,retiring,retired,retired,r
adjust,adjusts,adjusting,adjusted,adjusted,a
ease,eases,easing,eased,eased,e
breathe,breathes,breathing,breathed,breathed,b
pour,pours,pouring,poured,poured,p
knit,knits,knitting,knit,knit,k
exceed,exceeds,exceeding,exceeded,exceeded,e
back,backs,backing,backed,backed,b
approve,approves,approving,approved,approved,a
trace,traces,tracing,traced,traced,t
register,registers,registering,registered,registered,r
calculate,calculates,calculating,calculated,calculated,c
occupy,occupies,occupying,occupied,occupied,o
stimulate,stimulates,stimulating,stimulated,stimulated,s
print,prints,printing,printed,printed,p
stress,stresses,stressing,stressed,stressed,s
appoint,appoints,appointing,appointed,appointed,a
free,frees,freeing,freed,freed,f
interfere,interferes,interfering,interfered,interfered,i
object,objects,objecting,objected,objected,o
boost,boosts,boosting,boosted,boosted,b
smile,smiles,smiling,smiled,smiled,s
facilitate,facilitates,facilitating,facilitated,facilitated,f
lack,lacks,lacking,lacked,lacked,l
cease,ceases,ceasing,ceased,ceased,c
enforce,enforces,enforcing,enforced,enforced,e
adapt,adapts,adapting,adapted,adapted,a
tie,ties,tying,tied,tied,t
quote,quotes,quoting,quoted,quoted,q
dominate,dominates,dominating,dominated,dominated,d
pop,pops,popping,popped,popped,p
please,pleases,pleasing,pleased,pleased,p
design,designs,designing,designed,designed,d
intervene,intervenes,intervening,intervened,intervened,i
yield,yields,yielding,yielded,yielded,y
resign,resigns,resigning,resigned,resigned,r
spell,spells,spelling,spelled,spelled,s
shout,shouts,shouting,shouted,shouted,s
stir,stirs,stirring,stirred,stirred,s
emphasise,emphasises,empasising,emphasised,emphasised,e
spare,spares,sparing,spared,spared,s
estimate,estimates,estimating,estimated,estimated,e
kick,kicks,kicking,kicked,kicked,k
regret,regrets,regretting,regretted,regretted,r
offset,offsets,offsetting,offset,offset,o
list,lists,listing,listed,listed,l
dress,dresses,dressing,dressed,dressed,d
declare,declares,declaring,declared,declared,d
assure,assures,assuring,assured,assured,a
derive,derives,deriving,derived,derived,d
access,accesses,accessing,accessed,accessed,a
delay,delays,delaying,delayed,delayed,d
clarify,clarifies,clarifying,clarified,clarified,c
copy,copies,copying,copied,copied,c
favour,favours,favouring,favoured,favoured,f
dig,digs,digging,dug,dug,d
respect,respects,respecting,respected,respected,r
hand,hands,handing,handed,handed,h
capture,captures,capturing,captured,captured,c
reinforce,reinforces,reinforcing,reinforced,reinforced,r
transform,transforms,transforming,transformed,transformed,t
perceive,perceives,perceiving,perceived,perceived,p
function,functions,functioning,functioned,functioned,f
fuck,fucks,fucking,fucked,fucked,f
threaten,threatens,threatening,threatened,threatened,t
quit,quits,quitting,quit,quit,q
accompany,accompanies,accompanying,accompanied,accompanied,a
swim,swims,swimming,swam,swum,s
fund,funds,funding,funded,funded,f
pack,packs,packing,packed,packed,p
correct,corrects,correcting,corrected,corrected,c
cancel,cancels,cancelling,cancelled,cancelled,c
sail,sails,sailing,sailed,sailed,s
compensate,compensates,compensating,compensated,compensated,c
steal,steals,stealing,stole,stolen,s
undermine,undermines,undermining,undermined,undermined,u
range,ranges,ranging,ranged,ranged,r
feature,features,featuring,featured,featured,f
oppose,opposes,opposing,opposed,opposed,o
locate,locates,locating,located,located,l
hurry,hurries,hurrying,hurried,hurried,h
tap,taps,tapping,tapped,tapped,t
broadcast,broadcasts,broadcasting,broadcast,broadcast,b
sue,sues,suing,sued,sued,s
store,stores,storing,stored,stored,s
trade,trades,trading,traded,traded,t
bid,bids,bidding,bid,bid,b
organize,organizes,organizing,organized,organized,o
light,lights,lighting,lit,lit,l
slow,slows,slowing,slowed,slowed,s
concern,concerns,concerning,concerned,concerned,c
dismiss,dismisses,dismissing,dismissed,dismissed,d
swear,swears,swearing,swore,sworn,s
highlight,highlights,highlighting,highlighted,highlighted,h
repair,repairs,repairing,repaired,repaired,r
conform,conforms,conforming,conformed,conformed,c
amount,amounts,amounting,amounted,amounted,a
attach,attaches,attaching,attached,attached,a
dream,dreams,dreaming,dreamed,dreamed,d
rush,rushes,rushing,rushed,rushed,r
absorb,absorbs,absorbing,absorbed,absorbed,a
sink,sinks,sinking,sank,sunk,s
grab,grabs,grabbing,grabbed,grabbed,g
calm,calms,calming,calmed,calmed,c
protest,protests,protesting,protested,protested,p
balance,balances,balancing,balanced,balanced,b
beg,begs,begging,begged,begged,b
install,installs,installing,installed,installed,i
advance,advances,advancing,advanced,advanced,a
fire,fires,firing,fired,fired,f
block,blocks,blocking,blocked,blocked,b
aid,aids,aiding,aided,aided,a
flow,flows,flowing,flowed,flowed,f
drag,drags,dragging,dragged,dragged,d
correspond,corresponds,corresponding,corresponded,corresponded,c
pose,poses,posing,posed,posed,p
admire,admires,admiring,admired,admired,a
relieve,relieves,relieving,relieved,relieved,r
reverse,reverses,reversing,reversed,reversed,r
time,times,timing,timed,timed,t
combat,combats,combatting,combatted,combatted,c
integrate,integrates,integrating,integrated,integrated,i
disagree,disagrees,disagreeing,disagreed,disagreed,d
connect,connects,connecting,connected,connected,c
update,updates,updating,updated,updated,u
modify,modifies,modifying,modified,modified,m
anticipate,anticipates,anticipating,anticipated,anticipated,a
tax,taxes,taxing,taxed,taxed,t
opt,opts,opting,opted,opted,o
stare,stares,staring,stared,stared,s
spot,spots,spotting,spotted,spotted,s
command,commands,commanding,commanded,commanded,c
obey,obeys,obeying,obeyed,obeyed,o
house,houses,housing,housed,housed,h
extract,extracts,extracting,extracted,extracted,e
slide,slides,sliding,slid,slid,s
counter,counters,countering,countered,countered,c
resume,resumes,resuming,resumed,resumed,r
grasp,grasps,grasping,grasped,grasped,g
swing,swings,swinging,swang,swung,s
render,renders,rendering,rendered,rendered,r
speed,speeds,speeding,sped,sped,s
confront,confronts,confronting,confronted,confronted,c
ban,bans,banning,banned,banned,b
wipe,wipes,wiping,wiped,wiped,w
double,doubles,doubling,doubled,doubled,d
comprise,comprises,comprising,comprised,comprised,c
witness,witnesses,witnessing,witnessed,witnessed,w
plant,plants,planting,planted,planted,p
breed,breeds,breeding,bred,bred,b
assert,asserts,asserting,asserted,asserted,a
disclose,discloses,disclosing,disclosed,disclosed,d
defeat,defeats,defeating,defeated,defeated,d
squeeze,squeezes,squeezing,squeezed,squeezed,s
taste,tastes,tasting,tasted,tasted,t
bind,binds,binding,bound,bound,b
harm,harms,harming,harmed,harmed,h
encounter,encounters,encountering,encountered,encountered,e
request,requests,requesting,requested,requested,r
struggle,struggles,struggling,struggled,struggled,s
hire,hires,hiring,hired,hired,h
conceal,conceals,concealing,concealed,concealed,c
recruit,recruits,recruiting,recruited,recruited,r
wander,wanders,wandering,wandered,wandered,w
emphasize,emphasizes,emphasizing,emphasized,emphasized,e
weigh,weighs,weighing,weighed,weighed,w
coincide,coincides,coinciding,coincided,coincided,c
bend,bends,bending,bent,bent,b
regulate,regulates,regulating,regulated,regulated,r
rescue,rescues,rescuing,rescued,rescued,r
entertain,entertains,entertaining,entertained,entertained,e
forecast,forecasts,forecasting,forecast,forecast,f
inspect,inspects,inspecting,inspected,inspected,i
export,exports,exporting,exported,exported,e
urge,urges,urging,urged,urged,u
induce,induces,inducing,induced,induced,i
lock,locks,locking,locked,locked,l
exhibit,exhibits,exhibiting,exhibited,exhibited,e
exchange,exchanges,exchanging,exchanged,exchanged,e
warm,warms,warming,warmed,warmed,w
confess,confesses,confessing,confessed,confessed,c
tolerate,tolerates,tolerating,tolerated,tolerated,t
mount,mounts,mounting,mounted,mounted,m
brush,brushes,brushing,brushed,brushed,b
reproduce,reproduces,reproducing,reproduced,reproduced,r
undergo,undergoes,undergoing,underwent,undergone,u
impress,impresses,impressing,impressed,impressed,i
figure,figures,figuring,figured,figured,f
decline,declines,declining,declined,declined,d
rub,rubs,rubbing,rubbed,rubbed,r
cater,caters,catering,catered,catered,c
tour,tours,touring,toured,toured,t
distribute,distributes,distributing,distributed,distributed,d
sense,senses,sensing,sensed,sensed,s
repay,repays,repaying,repaid,repaid,r
regain,regains,regaining,regained,regained,r
minimise,minimises,minimising,minimised,minimised,m
halt,halts,halting,halted,halted,h
shape,shapes,shaping,shaped,shaped,s
cool,cools,cooling,cooled,cooled,c
disturb,disturbs,disturbing,disturbed,disturbed,d
bite,bites,biting,bit,bitten,b
progress,progresses,progressing,progressed,progressed,p
devote,devotes,devoting,devoted,devoted,d
provoke,provokes,provoking,provoked,provoked,p
dispose,disposes,disposing,disposed,disposed,d
translate,translates,translating,translated,translated,t
reassure,reassures,reassuring,reassured,reassured,r
contemplate,contemplates,contemplating,contemplated,contemplated,c
alert,alerts,alerting,alerted,alerted,a
service,services,servicing,serviced,serviced,s
