All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
The clearing was fenced in by a light ‘dog-legged’ fence (a fence of sapling poles resting on forks and X-shaped uprights), and the dusty ground round the house was almost entirely covered with cattle-dung.	a light ‘ dog - legged ’ fence ( a fence of sapling poles resting on forks and X - shaped uprights ) fenced in The clearing , and the dusty ground round the house was almost entirely covered with cattle - dung . 
 The children were sent by turns over to Wall’s to Sunday-school.	  turns over to Wall sent The children ’s to Sunday - school . 
 Andy’s brain still worked on the cartridge; his eye was caught by the glare of an empty kerosene-tin lying in the bushes, and it struck him that it wouldn’t be a bad idea to sink the cartridge packed with clay, sand, or stones in the tin, to increase the force of the explosion.	  Andy ’s brain still worked on the cartridge ; the glare of an empty kerosene - tin lying in the bushes caught his eye , and it struck him that it would n’t be a bad idea to sink the cartridge packed with clay , sand , or stones in the tin , to increase the force of the explosion . 
 The tapping came from the kitchen at the rear of the teacher’s residence, and was uncomfortably suggestive of a coffin being made: it was also accompanied by a sickly, indescribable odour--more like that of warm cheap glue than anything else.	  The tapping came from the kitchen at the rear of the teacher ’s residence , and was uncomfortably suggestive of a coffin being made : a sickly , indescribable odour -- more like that of warm cheap glue than anything else also accompanied it . 
The police surgeon testified as to the cause of death—the man had been struck down from behind by a blow, a terrible blow—from some heavy instrument, and had died immediately.	The police surgeon testified as to the cause of death — a blow had struck down from behind the man a terrible blow — from some heavy instrument , , and had died immediately . 
The portals were gained by devious ways.	devious ways gained The portals . 
They were made in the town by a local silversmith, whose great-great-grandson still carries on the business.	a local silversmith , whose great - great - grandson still carries on the business made in the town them . 
 “Mr. Stephens replied that they were informed that there was not the remotest chance—the money, it was said by prisoner and those acting on his behalf, had utterly vanished with the death of the man to whom he had just made reference.	  “ Mr. Stephens replied that them were informed that there was not the remotest chance — the money , prisoner and those acting on his behalf said it , had utterly vanished with the death of the man to whom he had just made reference . 
It was sent to Corkindale by a nephew of Chamberlayne’s, another Chamberlayne, Stephen, who lived in London, and was understood to be on the Stock Exchange there.	a nephew of Chamberlayne ’s , another Chamberlayne , Stephen , who lived in London sent to Corkindale It , and was understood to be on the Stock Exchange there . 
These, of course, are taken by the country folk to be young lords enjoying the air of Bayswater, but others, more knowing, are aware that they are Swiss or German waiters whose linen might be cleaner.	the country folk , of course , takes These to be young lords enjoying the air of Bayswater , but others , more knowing , are aware that they are Swiss or German waiters whose linen might be cleaner . 
“I am charged by my paper to investigate the circumstances of the death of the man who was found in Middle Temple Lane, and, if possible, to track his murderer, and——”  Mr. Elphick laughed slightly and waved his hand.	“ my paper charges me to investigate the circumstances of the death of the man who was found in Middle Temple Lane , and , if possible , to track his murderer , and — — ”   Mr. Elphick laughed slightly and waved his hand . 
It was patronized by the working classes—Cloudhampton’s a purely artisan population—and they stuck a lot of their brass, as they call it, in it.	the working classes — Cloudhampton ’s a purely artisan population patronized It — and they stuck a lot of their brass , as they call it , in it . 
 You see, America was occupied a billion years and more, by Injuns and Aztecs, and that sort of folks, before a white man ever set his foot in it.	  You see , Injuns and Aztecs occupied a billion years and more , America , and that sort of folks , before a white man ever set his foot in it . 
They were forced into the theory of the Trinity by the necessity of those contrary assertions, and they had to make it a mystery protected by curses to save it from a reductio ad absurdam.	the necessity of those contrary assertions forced into the theory of the Trinity them , and they had to make it a mystery protected by curses to save it from a reductio ad absurdam . 
When the muddle was at its very worst, the church was confronted by enormous political opportunities.	When the muddle was at its very worst , enormous political opportunities confronted the church . 
The practical unanimity of Nicaea was secured by threats, and then, turning upon the victors, he sought by threats to restore Arius to communion.	threats secured The practical unanimity of Nicaea , and then , turning upon the victors , he sought by threats to restore Arius to communion . 
For a time there is a curious resistance to the suggestion that God is truly a person; he is spoken of preferably by such phrases as the Purpose in Things, as the Racial Consciousness, as the Collective Mind.	For a time there is a curious resistance to the suggestion that God is truly a person ; such phrases as the Purpose in Things , as the Racial Consciousness speak of preferably him , as the Collective Mind . 
 The idea of Providence was very gaily travested by Daudet in “Tartarin in the Alps.”	  Daudet very gaily travested The idea of Providence in “ Tartarin in the Alps . ” 
If the mountaineer tried to get into real danger he was turned back by specious excuses.	If the mountaineer tried to get into real danger specious excuses turned back him . 
Then coming back one day from some races in France, he was knocked down by an automobile and hurt very cruelly.	Then coming back one day from some races in France , an automobile knocked down him and hurt very cruelly . 
These beliefs survived      for a thousand years throughout Christendom: they were held      by a great multitude of persecuted sects, from the      Albigenses and Cathars to the eastern Paulicians.	These beliefs survived       for a thousand years throughout Christendom : a great multitude of persecuted sects held       them , from the       Albigenses and Cathars to the eastern Paulicians . 
These sexual questions are guarded by a holy irascibility, and the most violent efforts are made--with a sense of complete righteousness--to prohibit their discussion.	a holy irascibility guards These sexual questions , and the most violent efforts are made -- with a sense of complete righteousness -- to prohibit their discussion . 
For example a scientific investigator, lit and inspired by great inquiries, may be hampered by the conditions of his professorship or research fellowship, which exact an appearance of “practical”  results.	For example the conditions of his professorship or research fellowship , which exact an appearance of “ practical ”   results may hamper a scientific investigator , lit and inspired by great inquiries , . 
A barrister is usually a man of some energy and ambition, his honour is moulded by the traditions of an ancient and antiquated profession, instinctively self-preserving and yet with a real desire for consistency and respect.	A barrister is usually a man of some energy and ambition , the traditions of an ancient and antiquated profession mould his honour , instinctively self - preserving and yet with a real desire for consistency and respect . 
At the worst it is mitigated by thought for wife or child.	At the worst thought for wife or child mitigates it . 
 The emancipation of mankind from obsolete theories and formularies may be accompanied by great tides of moral and emotional release among types and strata that by the standards of a trained and explicit intellectual, may seem spiritually hopeless.	  great tides of moral and emotional release among types and strata may accompany The emancipation of mankind from obsolete theories and formularies that by the standards of a trained and explicit intellectual , may seem spiritually hopeless . 
But it has been felt by many deep-feeling people that there is so much kindred between the love and trust of husband and wife and the feeling we have for God, that it is reasonable to consider the former also as a sacred thing.	But many deep - feeling people have felt it that there is so much kindred between the love and trust of husband and wife and the feeling we have for God , that it is reasonable to consider the former also as a sacred thing . 
There come dull patches of existence; those mysterious obliterations of one’s finer sense that are due at times to the little minor poisons one eats or drinks, to phases of fatigue, ill-health and bodily disorder, or one is betrayed by some unanticipated storm of emotion, brewed deep in the animal being and released by any trifling accident, such as personal jealousy or lust, or one is relaxed by contentment into vanity.	There come dull patches of existence ; some unanticipated storm of emotion betrays those mysterious obliterations of one ’s finer sense that are due at times to the little minor poisons one eats or drinks , to phases of fatigue , ill - health and bodily disorder , or one , brewed deep in the animal being and released by any trifling accident , such as personal jealousy or lust , or one is relaxed by contentment into vanity . 
They are written by people living lives very like the lives of us who are called “sane,” except that they lift to a higher excitement and fall to a lower depression, and that these extremer phases of mania or melancholia slip the leash of mental consistency altogether and take abnormal forms.	people living write them lives very like the lives of we who are called “ sane , ” except that they lift to a higher excitement and fall to a lower depression , and that these extremer phases of mania or melancholia slip the leash of mental consistency altogether and take abnormal forms . 
The deep stillness of the late night is broken by a stirring, and the morning star of creedless faith, the last and brightest of the stars, the star that owes its light to the coming sun is in the sky.	a stirring breaks The deep stillness of the late night , and the morning star of creedless faith , the last and brightest of the stars , the star that owes its light to the coming sun is in the sky . 
Every new religious development is haunted by the precedents of the religion it replaces, and it was only to be expected that among those who have recovered their faith there should be a search for apostles and disciples, an attempt to determine sources and to form original congregations, especially among people with European traditions.	the precedents of the religion it replaces haunt Every new religious development , and it was only to be expected that among those who have recovered their faith there should be a search for apostles and disciples , an attempt to determine sources and to form original congregations , especially among people with European traditions . 
Its probable obligations to Eastern thought are less readily estimated by a European writer.	a European writer less readily estimates Its probable obligations to Eastern thought . 
 Justice has never been done to bricks and soldiers by those who write about toys.	  those who write about toys never has done to bricks and soldiers Justice . 
These things it was felt MUST be provided by individual and local effort, and since it was manifest that it was individual and local effort that were in default, it was reluctantly agreed to stimulate them by money payments.	individual and local effort MUST provide These things it was felt , and since it was manifest that it was individual and local effort that were in default , it was reluctantly agreed to stimulate them by money payments . 
The peas were eaten in the night before they were three inches high, the beans bore nothing but blight, the only apparent result of a spraying of the potatoes was to develop a PENCHANT in the cat for being ill indoors, the cucumber frames were damaged by the catapulting of boys going down the lane at the back, and all your cucumbers were mysteriously embittered.	The peas were eaten in the night before they were three inches high , the beans bore nothing but blight , the only apparent result of a spraying of the potatoes was to develop a PENCHANT in the cat for being ill indoors , the catapulting of boys going down the lane at the back damaged the cucumber frames , and all your cucumbers were mysteriously embittered . 
The agricultural placidities that had formerly come to the very borders of the High Street were broken up north, west and south, by new roads.	new roads broke up north , west and south , The agricultural placidities that had formerly come to the very borders of the High Street . 
The charge for my instruction was mainly set off by the periodic visits of my father with a large bag of battered fossils to lecture to us upon geology.	the periodic visits of my father mainly set off The charge for my instruction with a large bag of battered fossils to lecture to we upon geology . 
Almost immediately I was accosted by the leader of a little gang of four or five extremely dirty and ragged boys of assorted sizes and slouching carriage who were coming from the Anerley direction.	Almost immediately the leader of a little gang of four or five extremely dirty and ragged boys of assorted sizes and slouching carriage who were coming from the Anerley direction accosted me . 
My nose was flattened by a dirty hand, and as I struck out and hit something like sacking, some one kicked my elbow.	a dirty hand flattened My nose , and as I struck out and hit something like sacking , some one kicked my elbow . 
 A subsequent revival of these imaginings was brought about by Britten's luck in getting, through a friend of his father's, admission for us both to the spectacle of volunteer officers fighting the war game in Caxton Hall.	  Britten 's luck in getting , brought about A subsequent revival of these imaginings through a friend of his father 's , admission for we both to the spectacle of volunteer officers fighting the war game in Caxton Hall . 
There, in spite of intense secret curiosities, our lips were sealed by a peculiar shyness.	There , in spite of intense secret curiosities , a peculiar shyness sealed our lips . 
 But there we were checked by our ignorance of the world.	  But there our ignorance of the world checked us . 
When I look back at my youth I am always astonished by the multitude of things that we took for granted.	When I look back at my youth the multitude of things we took that for granted always astonishes me . 
Chris Robinson was heralded by such heroic anticipations, and he was so entirely what we had not anticipated.	such heroic anticipations heralded Chris Robinson , and he was so entirely what we had not anticipated . 
We forgot for a time that he had been shy and seemed not a little incompetent, his provincial accent became a beauty of his earnest speech, we were carried away by his indignations.	We forgot for a time that he had been shy and seemed not a little incompetent , his provincial accent became a beauty of his earnest speech , his indignations carried away us . 
The indulgences of these occasions were usually followed by a period of reaction, when he was urgent for the suppression of nudity in the local Art Gallery and a harsh and forcible elevation of the superficial morals of the valley.	a period of reaction usually followed The indulgences of these occasions , when he was urgent for the suppression of nudity in the local Art Gallery and a harsh and forcible elevation of the superficial morals of the valley . 
The tandems would be steered by weird and devious routes to evade the bare chance of his bloodshot eye.	weird and devious routes would steer The tandems to evade the bare chance of his bloodshot eye . 
 Her exposition was truncated by the entry of the type in question.	  the entry of the type in question truncated Her exposition . 
But she had either been prepared by Altiora or she remembered my name.	But Altiora either had prepared her or she remembered my name . 
I am struck most of all by the immense unpremeditated, generous-spirited insincerities upon which Margaret and I were building.	the immense unpremeditated , generous - spirited insincerities upon which Margaret and I were building strike most of all me . 
I was perplexed by the riddle of just how far I was, in any sense of the word, taking hold at all, how far I wasn't myself flowing into an accepted groove.	the riddle of just how far I was perplexed me , in any sense of the word , taking hold at all , how far I was n't myself flowing into an accepted groove . 
 Margaret was troubled by no such doubts.	  no such doubts troubled Margaret . 
It meets persons and phrases, it assimilates the spirit of a book, it is startled into new realisations by some accident that seems altogether irrelevant to the general tenor of one's life.	It meets persons and phrases , it assimilates the spirit of a book , some accident that seems altogether irrelevant to the general tenor of one 's life startles into new realisations it . 
Margaret was perplexed by me.	I perplexed Margaret . 
At first I had been rather struck by his unkempt look, and it made my reaction all the stronger.	At first his unkempt look rather had struck me , and it made my reaction all the stronger . 
 These gatherings had been organised by Margaret as the outcome of a discussion at the Baileys'.	  Margaret had organised These gatherings as the outcome of a discussion at the Baileys ' . 
I was struck by a thing in him that I had already observed less vividly in many others of these Socialist leaders, and which gave me at last a clue to the whole business.	a thing in he struck me that I had already observed less vividly in many others of these Socialist leaders , and which gave me at last a clue to the whole business . 
The cant of Imperialism was easy to learn and use; it was speedily adopted by all sorts of base enterprises and turned to all sorts of base ends.	The ca nt of Imperialism was easy to learn and use ; all sorts of base enterprises speedily adopted it and turned to all sorts of base ends . 
Our meetings were pervaded by the feeling that all things moved towards a day of reckoning with Germany, and I was largely instrumental in keeping up the suggestion that India was in a state of unstable equilibrium, that sooner or later something must happen there--something very serious to our Empire.	the feeling that all things moved towards a day of reckoning with Germany pervaded Our meetings , and I was largely instrumental in keeping up the suggestion that India was in a state of unstable equilibrium , that sooner or later something must happen there -- something very serious to our Empire . 
 All our Imperialists were obsessed by the thought of international conflict, and their influence revived for a time those uneasinesses that had been aroused in me for the first time by my continental journey with Willersley and by Meredith's “One of Our Conquerors.”	  the thought of international conflict obsessed All our Imperialists , and their influence revived for a time those uneasinesses that had been aroused in I for the first time by my continental journey with Willersley and by Meredith 's “ One of Our Conquerors . ” 
Either this unprecedented rearrangement must be achieved by our civilisation, or it must presently come upon a phase of disorder and crumble and perish, as Rome perished, as France declines, as the strain of the Pilgrim Fathers dwindles out of America.	Either our civilisation must achieve this unprecedented rearrangement , or it must presently come upon a phase of disorder and crumble and perish , as Rome perished , as France declines , as the strain of the Pilgrim Fathers dwindles out of America . 
We were not taken by surprise.	surprise not took us . 
 After Lady Colbeck threw her up as altogether too “intellectual” for comfortable control, Isabel was taken up by the Balfes in a less formal and compromising manner, and week-ended with them and their cousin Leonora Sparling, and spent large portions of her summer with them in Herefordshire.	  After Lady Colbeck threw her up as altogether too “ intellectual ” for comfortable control , the Balfes took up Isabel in a less formal and compromising manner , and week - ended with they and their cousin Leonora Sparling , and spent large portions of her summer with they in Herefordshire . 
People will always think of it first when they think of us; all our work and aims will be warped by it and subordinated to it.	People will always think of it first when they think of we ; it will warp all our work and aims and subordinated to it . 
Then this was coloured emotionally for me by my aching sense of loss and sacrifice, and by the chance trend of our talk to the breaches and unrealities of the civilised scheme.	Then my aching sense of loss and sacrifice coloured emotionally for I this , and by the chance trend of our talk to the breaches and unrealities of the civilised scheme . 
I was attacked across the table by a man named Burshort about my Endowment of Motherhood schemes, but in the gaps of that debate I could still hear Weston Massinghay at intervals repeat in a rather thickened voice: “THEY didn't get dysentery.”	a man named Burshort about my Endowment of Motherhood schemes attacked across the table me , but in the gaps of that debate I could still hear Weston Massinghay at intervals repeat in a rather thickened voice : “ THEY did n't get dysentery . ” 
And when I saw her, my own selfish sorrows were altogether swept away by a wave of pitiful tenderness.	And when I saw her , a wave of pitiful tenderness altogether swept away my own selfish sorrows . 
 These lyric forms were fixed, in many cases, by the art of writing.	  the art of writing fixed , in many cases , These lyric forms . 
 The fairy tax, tithe, or teind, paid to Hell, is illustrated by old trials for witchcraft, in Scotland.	  old trials for witchcraft illustrate The fairy tax , tithe , or teind , paid to Hell , , in Scotland . 
{0a}  Now, in literary forms and romance, as in _Ogier le Danois_, persons are carried away by the Fairy King or Queen.	{ 0a }   Now , in literary forms and romance , as in _ Ogier le Danois _ , the Fairy King or Queen carries away persons . 
The extreme historic inaccuracy of _Mary Hamilton_ is paralleled by that of all the ballads on real events.	that of all the ballads on real events parallels The extreme historic inaccuracy of _ Mary Hamilton _ . 
Bateman, a captive of “this Turk,” is beloved by the Turk’s daughter (a staple incident of old French romance), and by her released.	the Turk ’s daughter ( a staple incident of old French romance beloves Bateman , a captive of “ this Turk , ” ) , and by she released . 
Till she was beloved by a’ the king’s court,       And the king the only man.	Till a ’ the king ’s court ,        And the king the only man beloved her . 
 These were led by James, Earl of Douglas, March, and Murray.	  James , Earl of Douglas , March , and Murray led These . 
 The Sinclairs and Lindsay raised his banner, with his cry; March and Dunbar came up; Hotspur was taken by Montgomery, and the English were routed with heavy loss.	  The Sinclairs and Lindsay raised his banner , with his cry ; March and Dunbar came up ; Montgomery took Hotspur , and the English were routed with heavy loss . 
   SIR HUGH.—p. 19   The date of the Martyrdom of Hugh is attributed by Matthew Paris to 1225.	Matthew Paris attribute     SIR HUGH.—p . 19    The date of the Martyrdom of Hugh to 1225 . 
 The English version, “Three Ravens,” was published in _Melismata_, by T. Ravensworth (1611).	  T. Ravensworth ( 1611 ) published in _ Melismata _ , The English version , “ Three Ravens , ” . 
 After a meeting, on the Border of Salkeld of Corby, and Scott of Haining, Kinmont Willie was seized by the English as he rode home from the tryst.	  After a meeting , on the Border of Salkeld of Corby , and Scott of Haining , the English seized Kinmont Willie as he rode home from the tryst . 
73   Lord Airly’s houses were destroyed by Argyll, representing the Covenanters, and also in pursuance of a private feud, in 1639, or 1640.	Argyll destroyed 73    Lord Airly ’s houses , representing the Covenanters , and also in pursuance of a private feud , in 1639 , or 1640 . 
145   This version was taken down by Sir Walter Scott from his mother’s recitation, for Jamieson’s book of ballads.	145    Sir Walter Scott took down This version from his mother ’s recitation , for Jamieson ’s book of ballads . 
 A variant is given by Kinloch, and a longer, less poetical, but more historically accurate version is given by Buchan.	  Kinloch gives A variant , and a longer , less poetical , but more historically accurate version is given by Buchan . 
 The Shepherd himself (then a most unsophisticated person) said, in a letter of June 30, 1801, that he was “surprized to hear this song is suspected by some to be a modern forgery; the contrary will be best proved by most of the old people, here about, having a great part of it by heart.”	  The Shepherd himself ( then a most unsophisticated person ) said , in a letter of June 30 , 1801 , that him was “ surprized to hear this song is suspected by some to be a modern forgery ; most of the old people , best will prove the contrary here about , having a great part of it by heart . ” 
 “Maitland upon auld beird gray” is mentioned by Gawain Douglas, in his _Palice of Honour_, which the Shepherd can hardly have read, and Scott identified this Maitland with the ancestor of Lethington; his date was 1250–1296.	  “ Gawain Douglas ” mention Maitland upon auld beird gray , in his _ Palice of Honour _ , which the Shepherd can hardly have read , and Scott identified this Maitland with the ancestor of Lethington ; his date was 1250–1296 . 
 If we suspect Leyden, who alone had the necessary knowledge of antiquities, we are still met by the improbability of old Mrs. Hogg being engaged in the hoax.	  If we suspect Leyden , who alone had the necessary knowledge of antiquities , the improbability of old Mrs. Hogg being engaged in the hoax still meets us . 
 The kind of spell indicated was practised by Hera upon Alcmena, before the birth of Heracles.	  Hera practised The kind of spell indicated upon Alcmena , before the birth of Heracles . 
He was surrounded by the unknown, apprehensive of what might happen, ignorant of what he should do, aware that he walked and bore himself awkwardly, fearful that every attribute and power of him was similarly afflicted.	the unknown surrounded him , apprehensive of what might happen , ignorant of what he should do , aware that he walked and bore himself awkwardly , fearful that every attribute and power of he was similarly afflicted . 
She might well be sung by that chap, Swinburne.	that chap , Swinburne well might sing her . 
All these were blotted out by a grotesque and terrible nightmare brood—frowsy, shuffling creatures from the pavements of Whitechapel, gin-bloated hags of the stews, and all the vast hell’s following of harpies, vile-mouthed and filthy, that under the guise of monstrous female form prey upon sailors, the scrapings of the ports, the scum and slime of the human pit.	a grotesque and terrible nightmare brood — frowsy , blotted out All these shuffling creatures from the pavements of Whitechapel , gin - bloated hags of the stews , and all the vast hell ’s following of harpies , vile - mouthed and filthy , that under the guise of monstrous female form prey upon sailors , the scrapings of the ports , the scum and slime of the human pit . 
She was surprised by a wanton thought that rushed into her mind.	a wanton thought that rushed into her mind surprised her . 
She was shocked by this thought.	this thought shocked her . 
He was moved deeply by appreciation of it, and his heart was melting with sympathetic tenderness.	appreciation of it moved deeply him , and his heart was melting with sympathetic tenderness . 
Also, when his secret glance went across to Norman opposite him, or to any one else, to ascertain just what knife or fork was to be used in any particular occasion, that person’s features were seized upon by his mind, which automatically strove to appraise them and to divine what they were—all in relation to her.	Also , when his secret glance went across to Norman opposite he , or to any one else , to ascertain just what knife or fork was to be used in any particular occasion , his mind , which automatically strove to appraise them and to divine what they were — all in relation to she seized upon that person ’s features . 
He was oppressed throughout the meal by the thought of finger-bowls.	the thought of finger - bowls oppressed throughout the meal him . 
But all the time he was oppressed by the consciousness that this carefulness of diction was making a booby of him, preventing him from expressing what he had in him.	But all the time the consciousness that this carefulness of diction was making a booby of he , preventing him from expressing what he had in he oppressed him . 
He was swiftly mastered by the concept or sensation in him that struggled in birth-throes to receive expression and form, and then he forgot himself and where he was, and the old words—the tools of speech he knew—slipped out.	the concept or sensation in he that struggled in birth - throes to receive expression and form swiftly mastered him , and then he forgot himself and where he was , and the old words — the tools of speech he knew — slipped out . 
She was repelled by those lacerated hands, grimed by toil so that the very dirt of life was ingrained in the flesh itself, by that red chafe of the collar and those bulging muscles.	those lacerated hands , grimed by toil so that the very dirt of life was ingrained in the flesh itself , by that red chafe of the collar and those bulging muscles repelled her . 
He was a fool; he had been made drunken by a woman’s face and by a woman’s soft, white hands.	He was a fool ; a woman ’s soft , white hands had made drunken by a woman ’s face and him . 
He was oppressed by the utter squalidness of it all.	the utter squalidness of it all oppressed him . 
On another night, his vigil was rewarded by a glimpse of Ruth through a second-story window.	On another night , a glimpse of Ruth rewarded his vigil through a second - story window . 
 He was afflicted by a sudden spiritual nausea.	  a sudden spiritual nausea afflicted him . 
It had never been jaded by study, and it bit hold of the knowledge in the books with sharp teeth that would not let go.	study never had jaded It , and it bit hold of the knowledge in the books with sharp teeth that would not let go . 
But he was baffled by lack of preparation.	But lack of preparation baffled him . 
Also, she was struck by his face.	Also , his face struck her . 
